trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
TRIP_02476_90403,12:24:00,12:24:00,STN_DIC,10,0,0
TRIP_02476_90403,12:28:00,12:28:00,STN_MIRA,11,0,0
TRIP_02476_90403,12:33:00,12:33:00,STN_BYR,12,0,0
TRIP_02476_90403,12:38:00,12:38:00,STN_NIG,13,0,0
TRIP_02476_90403,12:43:00,12:43:00,STN_BSR,14,0,0
TRIP_02476_90403,12:49:00,12:49:00,STN_NSP,15,0,0
TRIP_02477_90403,11:33:00,11:33:00,STN_CCG,1,0,0
TRIP_02477_90403,11:36:00,11:36:00,STN_MEL,2,0,0
TRIP_02477_90403,11:38:00,11:38:00,STN_CYR,3,0,0
TRIP_02477_90403,11:41:00,11:41:00,STN_GTR,4,0,0
